name,id,nametype,type,class,group,mass (g),fall,year,reclat,reclong,GeoLocation
Meru,15491,Valid,Stony,Ordinary,LL6,6000,Fell,1945-01-01,0,37.66667,"(0.000000, 37.666670)"
Rumuruti,22782,Valid,Stony,No Class,R3.8-6,67,Fell,1934-01-01,0.26667,36.53333,"(0.266670, 36.533330)"
Ipitinga,12044,Valid,Stony,Ordinary,H5,7000,Found,1989-01-01,0.35,-53.81667,"(0.350000, -53.816670)"
Yambo,30345,Valid,Stony,Ordinary,H5,4,Fell,1951-01-01,1,22.5,"(1.000000, 22.500000)"
Thika,54493,Valid,Stony,Ordinary,L6,14200,Fell,2011-01-01,-1.00278,37.15028,"(-1.002780, 37.150280)"
Mbale,15455,Valid,Stony,Ordinary,L5/6,150000,Fell,1992-01-01,1.06667,34.16667,"(1.066670, 34.166670)"
Maziba,15454,Valid,Stony,Ordinary,L6,4975,Fell,1942-01-01,-1.21667,30,"(-1.216670, 30.000000)"
Hoima,44714,Valid,Stony,Ordinary,H6,167.7,Fell,2003-01-01,1.345,31.47278,"(1.345000, 31.472780)"
Ruhobobo,22780,Valid,Stony,Ordinary,L6,465.5,Fell,1976-01-01,-1.45,29.83333,"(-1.450000, 29.833330)"
Soroti,23671,Valid,Iron,Achondrites,"Iron, ungrouped",2050,Fell,1945-01-01,1.7,33.63333,"(1.700000, 33.633330)"
Daule,51559,Valid,Stony,Ordinary,L5,6580,Fell,2008-01-01,-1.87089,-79.95756,"(-1.870890, -79.957560)"
Bununu,5165,Valid,Stony,Achondrites,Howardite,357,Fell,1942-01-01,10.01667,9.58333,"(10.016670, 9.583330)"
Chisenga,5355,Valid,Iron,Achondrites,"Iron, IIIAB",3920,Fell,1988-01-01,-10.05944,33.395,"(-10.059440, 33.395000)"
Cranganore,5465,Valid,Stony,Ordinary,L6,1460,Fell,1917-01-01,10.2,76.26667,"(10.200000, 76.266670)"
Rupota,22783,Valid,Stony,Ordinary,L4-6,6000,Fell,1949-01-01,-10.26667,38.76667,"(-10.266670, 38.766670)"
Bouri,47701,Valid,Stony,Ordinary,H4,9100,Found,1996-01-01,10.26667,40.56667,"(10.266670, 40.566670)"
